t_s,I_A,SOC_static,Vt_static_V,SOC_dynamic,Vt_dynamic_V,V1_V,V2_V
2348.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156942417165958,0.0003175128355967236,0.003029291806317747
2349.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156962947064342,0.0003020275518762612,0.003024247191653839
2350.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15698271333584,0.00028729749435461545,0.003019210977678519
2351.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157001752827256,0.000273285830215438,0.0030141831504023006
2352.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157020100589014,0.00025995752300003093,0.0030091636958589937
2353.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157037789962768,0.00024727924499795057,0.0030041526001056656
2354.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15705485266474,0.0002352192939103716,0.002999149849222603
2355.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15707131886498,0.00022374751357782707,0.002994155429313272
2356.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157087217262793,0.00021283521857410215,0.0029891693265042814
2357.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157102575158449,0.00020245512247772687,0.0029841915269453417
2358.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15711741852142,0.0001925812696417097,0.002979222016809229
2359.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157131772055289,0.00018318897029090034,0.0029742607822917455
2360.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157145659259477,0.00017425473878469153,0.0029693078096116807
2361.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15715910248797,0.00016575623489068438,0.0029643630850107743
2362.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157172123005196,0.00015767220792247088,0.0029594265947536767
2363.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157184741039142,0.0001499824436018489,0.002954498325127912
2364.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157196975831916,0.00014266771351259755,0.002949578262443839
2365.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15720884568782,0.0001357097270194209,0.0029446663930346134
2366.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157220368019084,0.00012909108553183274,0.002939762703256151
2367.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157231559389386,0.00012279523899861772,0.0029348671794870882
2368.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15724243555522,0.00011680644452408276,0.0029299798081287446
2369.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157253011505263,0.00011110972700261782,0.0029251005756050852
2370.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157263301497837,0.0001056908416731316,0.002920229468362683
2371.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.1572733190965,0.00010053623849972905,0.0029153664728706822
2372.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157283077203962,9.563302828956379e-05,0.0029105115756207583
2373.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157292588094283,9.096895046314227e-05,0.0029056647631270824
2374.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157301863443548,8.653234239648878e-05,0.0029008260219262837
2375.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157310914359037,8.231211025851076e-05,0.002895995338577411
2376.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15731975140694,7.829770127064251e-05,0.0028911726996618966
2377.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157328384638769,7.447907731940209e-05,0.002886358091783518
2378.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157336823616449,7.084668985587904e-05,0.0028815515015683615
2379.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157345077436188,6.73914560193884e-05,0.0028767529156647842
2380.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157353154751204,6.4104735925588e-05,0.002871962320743378
2381.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157361063793314,6.097831106226732e-05,0.002867179703496932
2382.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157368812393493,5.800436373878606e-05,0.0028624050506403944
2383.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157376408001424,5.517545753777555e-05,0.002857638348910838
2384.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157383857704085,5.248451872022182e-05,0.002852879585067422
2385.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157391168243445,4.992481853743355e-05,0.0028481287458913544
2386.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157398346033279,4.74899564056655e-05,0.0028433858181858567
2387.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157405397175195,4.5173843901325186e-05,0.0028386507887761267
2388.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157412327473827,4.297068953674265e-05,0.0028339236445093017
2389.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157419142451339,4.087498427843456e-05,0.0028292043722544227
2390.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157425847361198,3.888148777165104e-05,0.002824492958902397
2391.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15743244720127,3.698521523675917e-05,0.002819789391365962
2392.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157438946726288,3.518142500469746e-05,0.0028150936565796494
2393.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157445350459712,3.346560666033339e-05,0.002810405741499749
2394.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157451662705004,3.1833469764076195e-05,0.0028057256331042706
2395.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157457887556356,3.028093312354308e-05,0.0028010533183929105
2396.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157464028908896,2.8804114588452494e-05,0.002796388784387014
2397.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157470090468399,2.7399321343226286e-05,0.0027917320181295386
2398.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157476075760513,2.606304067302727e-05,0.00278708300668502
2399.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157481988139553,2.4791931180142434e-05,0.002782441737139534
2400.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157487830796843,2.3582814428748195e-05,0.0027778081966006625
2401.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157493606768679,2.243266699716528e-05,0.002773182372197457
2402.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157499318943874,2.133861291772969e-05,0.0027685642510804015
2403.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157504970070965,2.0297916485375515e-05,0.0027639538204213793
2404.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15751056276504,1.9307975416947307e-05,0.0027593510674136356
2405.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157516099514256,1.836631434413672e-05,0.0027547559792717425
2406.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157521582686018,1.747057862377238e-05,0.002750168543231563
2407.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15752701453287,1.6618528449985477e-05,0.0027455887465502164
2408.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157532397198112,1.580803325352843e-05,0.0027410165765060423
2409.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.1575377327211,1.5037066374241996e-05,0.0027364520203985655
2410.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157543023042331,1.4303699993349253e-05,0.0027318950655484606
2411.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157548270008263,1.3606100312904477e-05,0.0027273456992975165
2412.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157553475375893,1.2942522970343111e-05,0.0027228039090086017
2413.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15755864081713,1.231130867666675e-05,0.0027182696820656294
2414.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157563767922932,1.1710879067356359e-05,0.002713743005873522
2415.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157568858207258,1.1139732755638848e-05,0.0027092238678581757
2416.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157573913110827,1.0596441578238095e-05,0.002704712255466427
2417.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15757893400468,1.007964702422286e-05,0.0027002081561660154
2418.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15758392219359,9.588056838021845e-06,0.002695711557445552
2419.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157588878919269,9.120441788111655e-06,0.0026912224468144813
2420.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157593805363476,8.675632593297714e-06,0.002686740811803049
2421.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157598702650912,8.25251699890222e-06,0.0026822666399622655
2422.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157603571852013,7.850036995548119e-06,0.0026777999188638737
2423.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157608413985598,7.467186173584552e-06,0.0026733406361003115
2424.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157613230021381,7.103007206538522e-06,0.0026688887792846797
2425.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157618020882365,6.756589457300062e-06,0.0026644443360507065
2426.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157622787447119,6.42706670105513e-06,0.0026600072940527134
2427.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157627530551947,6.1136149592723736e-06,0.002655577640965581
2428.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157632250992949,5.815450439327616e-06,0.002651155364484714
2429.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157636949527973,5.531827574614033e-06,0.002646740452326009
2430.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157641626878487,5.262037160237288e-06,0.002642332892225818
2431.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157646283731351,5.005404579633887e-06,0.002637932671940915
2432.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157650920740506,4.761288117678381e-06,0.002633539779248464
2433.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15765553852857,4.529077356061294e-06,0.002629154201945982
2434.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.157660137688374,4.3081916469254e-06,0.002624775927851307
